# TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,ueberzug,"can be used to draw images on terminals. (dependency of lf-ueberzug)"
,unrar,"extracts *.rar files."
,unzip,"unzips *.zip files."
,usbutils,"is a collection of tools to query connected USB devices."
,vim-plug,"is a plugin manager for vim / neovim."
A,vscodium-bin,"is an open-source code editor forked from vscode."
,wireless_tools,"is a collection of tools for manipulating wireless connections."
,wireplumber,"is the session manager for the audio system using pipewire."
,wpa_supplicant,"is a utility for accessing WPA wireless networks."
,xautolock,"is a program that makes it possible to lock the screen after a specified amount of time."
A,xbanish,"hides an inactive mouse."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,xdg-user-dirs,"makes it possible to specifiy user directories."
,xorg-server,"is the graphical server."
,xorg-xbacklight,"enables changing screen brightness levels."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
,xorg-xev,"prints information about X events (e.g. keyboard, mouse events)."
,xorg-xinit,"starts the graphical server."
,xorg-xprop,"is a tool for detecting window properties."
,xorg-xrandr,"is a simple commandline interface for setting up multiple monitors."
,xorg-xwininfo,"allows querying information about windows."
,xsecurelock,"is used for locking the screen."
,xwallpaper,"sets the wallpaper."
,xsane,"is a GUI interface for 'sane' (scanning API)."
,yt-dlp,"can download any YouTube video (or playlist or channel) when given the link (fork of youtube-dl)."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,zip,"is used for creating *.zip files."
,libqalculate,"is a terminal calculator."
A,zsh,"is a shell that's slower than bash but has more features (used as interactive shell)."
,zsh-syntax-highlighting,"provides syntax highlighting for zsh in the shell."

# Programs I'm currently trying out
A,zaread-git,"makes it possible to open MS Office/LibreOffice documents with zathura."

# Programs that I want to try out
# ,xidlehook,"is a replacement for xautolock."
# ,pulsemixer,"is an audio controller."
# ,pamixer,"is a command-line audio interface."
# A,task-spooler,"queues commands or files for download."

# Programs that I might not need
# A,gtk-theme-arc-gruvbox-git,"is a dark theme for gtk applications."
# ,exfat-utils,"allows management of FAT drives."
# ,highlight,"can highlight code output."
# ,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."

